Type,Field,total,mismatch_count,accuracy_rate
ADCC,amount,1,1,0.00%
ADCC,can_be_located,1,1,0.00%
ADCC,channel,1,1,0.00%
ADCC,currency,1,1,0.00%
ADCC,date,1,1,0.00%
ADCC,fraud_type,4,2,50.00%
ADCC,from.account_number,1,1,0.00%
ADCC,from.name,1,1,0.00%
ADCC,police_reference,4,3,25.00%
ADCC,police_team,4,2,50.00%
ADCC,to.account_number,1,1,0.00%
ADCC,to.name,1,1,0.00%
HSBC Referral,amount,5,5,0.00%
HSBC Referral,can_be_located,5,5,0.00%
HSBC Referral,channel,2,2,0.00%
HSBC Referral,currency,5,5,0.00%
HSBC Referral,date,5,5,0.00%
HSBC Referral,fraud_type,18,8,55.56%
HSBC Referral,from.account_number,5,5,0.00%
HSBC Referral,from.bank,5,5,0.00%
HSBC Referral,from.name,5,5,0.00%
HSBC Referral,to.account_number,5,5,0.00%
HSBC Referral,to.bank,5,5,0.00%
HSBC Referral,to.name,5,5,0.00%
ODFT,fraud_type,4,3,25.00%
Police Letter,amount,3,3,0.00%
Police Letter,beneficiary_name,1,1,0.00%
Police Letter,can_be_located,2,2,0.00%
Police Letter,currency,3,3,0.00%
Police Letter,date,3,3,0.00%
Police Letter,fraud_type,12,5,58.33%
Police Letter,from.account_number,2,2,0.00%
Police Letter,from.bank,2,2,0.00%
Police Letter,from.name,2,2,0.00%
Police Letter,originator_name,1,1,0.00%
Police Letter,police_reference,12,4,66.67%
Police Letter,police_team,12,3,75.00%
Police Letter,to.account_number,1,1,0.00%
Police Letter,to.name,1,1,0.00%
Search Warrant,contact_person,6,3,50.00%
Search Warrant,fraud_type,6,6,0.00%
Search Warrant,police_reference,6,3,50.00%
Search Warrant,police_team,6,4,33.33%
Search Warrant,writ_no,6,3,50.00%
UAR,amount,2,2,0.00%
UAR,can_be_located,2,2,0.00%
UAR,channel,1,1,0.00%
UAR,currency,2,2,0.00%
UAR,date,2,2,0.00%
UAR,fraud_type,16,16,0.00%
UAR,from.account_number,2,2,0.00%
UAR,from.bank,2,2,0.00%
UAR,from.name,2,2,0.00%
UAR,to.account_number,2,2,0.00%
UAR,to.bank,2,2,0.00%
UAR,to.name,2,2,0.00%
