Type,Field,total,mismatch_count,accuracy_rate
ADCC,amount,20,19,5.00%
ADCC,can_be_located,20,19,5.00%
ADCC,channel,10,9,10.00%
ADCC,currency,20,19,5.00%
ADCC,date,20,20,0.00%
ADCC,from.account_number,18,17,5.56%
ADCC,from.bank,18,17,5.56%
ADCC,from.name,20,20,0.00%
ADCC,to.account_number,20,19,5.00%
ADCC,to.bank,20,19,5.00%
ADCC,to.name,20,19,5.00%
ADCC,transaction_references.0,20,19,5.00%
HSBC Referral,amount,43,23,46.51%
HSBC Referral,can_be_located,43,21,51.16%
HSBC Referral,cancel_amount_requested,18,0,100.00%
HSBC Referral,channel,43,22,48.84%
HSBC Referral,currency,43,21,51.16%
HSBC Referral,date,43,22,48.84%
HSBC Referral,from.account_number,43,22,48.84%
HSBC Referral,from.bank,43,25,41.86%
HSBC Referral,from.name,43,23,46.51%
HSBC Referral,to.account_number,43,22,48.84%
HSBC Referral,to.bank,43,24,44.19%
HSBC Referral,to.name,43,25,41.86%
HSBC Referral,transaction_references.0,43,21,51.16%
ODFT,amount,5,4,20.00%
ODFT,can_be_located,5,4,20.00%
ODFT,channel,5,4,20.00%
ODFT,currency,5,4,20.00%
ODFT,date,5,5,0.00%
ODFT,from.account_number,5,4,20.00%
ODFT,from.bank,5,4,20.00%
ODFT,from.name,5,5,0.00%
ODFT,to.account_number,5,5,0.00%
ODFT,to.bank,4,4,0.00%
ODFT,to.name,5,5,0.00%
ODFT,transaction_references.0,5,4,20.00%
Police Letter,amount,14,4,71.43%
Police Letter,can_be_located,14,4,71.43%
Police Letter,cancel_amount_requested,5,0,100.00%
Police Letter,channel,14,4,71.43%
Police Letter,currency,14,4,71.43%
Police Letter,date,14,5,64.29%
Police Letter,from.account_number,9,4,55.56%
Police Letter,from.bank,7,2,71.43%
Police Letter,from.name,9,4,55.56%
Police Letter,to.account_number,14,5,64.29%
Police Letter,to.bank,14,6,57.14%
Police Letter,to.name,14,7,50.00%
Police Letter,transaction_references.0,14,4,71.43%
Search Warrant,amount,6,0,100.00%
Search Warrant,can_be_located,6,0,100.00%
Search Warrant,cancel_amount_requested,6,0,100.00%
Search Warrant,channel,6,0,100.00%
Search Warrant,currency,6,0,100.00%
Search Warrant,date,6,0,100.00%
Search Warrant,from.account_number,6,0,100.00%
Search Warrant,from.bank,6,0,100.00%
Search Warrant,from.name,6,0,100.00%
Search Warrant,to.account_number,6,0,100.00%
Search Warrant,to.bank,6,0,100.00%
Search Warrant,to.name,6,0,100.00%
Search Warrant,transaction_references.0,6,0,100.00%
UAR,amount,18,4,77.78%
UAR,can_be_located,18,4,77.78%
UAR,cancel_amount_requested,11,3,72.73%
UAR,channel,17,7,58.82%
UAR,currency,18,4,77.78%
UAR,date,18,9,50.00%
UAR,from.account_number,13,4,69.23%
UAR,from.bank,14,10,28.57%
UAR,from.name,14,5,64.29%
UAR,to.account_number,17,3,82.35%
UAR,to.bank,18,10,44.44%
UAR,to.name,18,8,55.56%
UAR,transaction_references.0,17,3,82.35%
