Type,Field,total,mismatch_count,accuracy_rate
ADCC,fraud_type,4,2,50.00%
ADCC,police_reference,4,3,25.00%
ADCC,police_team,4,2,50.00%
HSBC Referral,fraud_type,18,9,50.00%
ODFT,fraud_type,4,2,50.00%
Police Letter,fraud_type,12,11,8.33%
Police Letter,police_reference,12,4,66.67%
Police Letter,police_team,12,2,83.33%
Search Warrant,amount,1,1,0.00%
Search Warrant,can_be_located,1,1,0.00%
Search Warrant,channel,1,1,0.00%
Search Warrant,contact_person,6,4,33.33%
Search Warrant,currency,1,1,0.00%
Search Warrant,date,1,1,0.00%
Search Warrant,fraud_type,6,6,0.00%
Search Warrant,from.account_number,1,1,0.00%
Search Warrant,from.bank,1,1,0.00%
Search Warrant,from.name,1,1,0.00%
Search Warrant,police_reference,6,3,50.00%
Search Warrant,police_team,6,2,66.67%
Search Warrant,to.account_number,1,1,0.00%
Search Warrant,to.bank,1,1,0.00%
Search Warrant,to.name,1,1,0.00%
Search Warrant,writ_no,6,4,33.33%
UAR,amount,1,1,0.00%
UAR,beneficiary,1,1,0.00%
UAR,cable_message,1,1,0.00%
UAR,date,1,1,0.00%
UAR,fraud_type,16,16,0.00%
UAR,originator,1,1,0.00%
