Type,Field,total,mismatch_count,accuracy_rate
ADCC,fraud_type,4,1,75.00%
ADCC,police_reference,4,2,50.00%
ADCC,police_team,4,1,75.00%
HSBC Referral,fraud_type,18,2,88.89%
ODFT,fraud_type,4,4,0.00%
Police Letter,fraud_type,12,0,100.00%
Police Letter,police_reference,12,4,66.67%
Police Letter,police_team,12,0,100.00%
Search Warrant,contact_person,6,2,66.67%
Search Warrant,fraud_type,6,6,0.00%
Search Warrant,police_reference,6,1,83.33%
Search Warrant,police_team,6,4,33.33%
Search Warrant,writ_no,6,2,66.67%
UAR,fraud_type,16,14,12.50%
